id,first_name,last_name,gender,dob,phone,email,ZIP,city,state
1,janice,byrd,F,1996-09-07,+15167906776,jbyrd96@gmail.com,5143,Chester,VT
2,amanda,husk,F,2007-05-18,+12067545582,ahusk07@yahoo.com,48204,Detroit,MI
3,lee,phillips,F,1991-02-25,+18933950035,lee.phillips@outlook.com,75640,Diana,TX
4,elmer,campbell,M,1969-04-19,+13778724391,elmer.campbell@gmail.com,47446,Mitchell,IN
5,archie,edwards,M,1996-04-24,+18818127933,aedwards96@gmail.com,93041,Port Hueneme,CA
6,carol,kuhlman,F,1978-06-03,+18916469356,carol.kuhlman@aol.com,94952,Petaluma,CA
7,peggy,jones,F,1979-04-09,+15984354097,peggy.jones@outlook.com,13327,Croghan,NY
8,elizabeth,lee,F,1991-07-28,+13276575460,elizabeth.lee@gmail.com,60188,Carol Stream,IL
9,jimmy,jo,M,1986-11-29,+18088226082,jjo86@gmail.com,10467,Bronx,NY
10,joe,freeman,M,1991-03-22,+15254431593,joe.freeman@outlook.com,55412,Minneapolis,MN
11,craig,mitchell,M,1978-10-13,+16244078882,craig.mitchell@gmail.com,65037,Gravois Mills,MO
12,richard,elmore,M,1997-04-24,+18252939519,relmore97@yahoo.com,38941,Itta Bena,MS
13,mary,vaccaro,F,1993-09-12,+14245177845,mary.vaccaro@gmail.com,92026,Escondido,CA
14,patsy,antle,F,2003-08-16,+11800590207,pantle03@yahoo.com,60015,Deerfield,IL
15,ella,shoaf,F,1992-10-25,+17744873040,ella.shoaf@aol.com,37327,Dunlap,TN
16,david,larsen,M,2000-09-01,+17243919419,david.larsen@yahoo.com,98303,Anderson Island,WA
